Title,Author,Subject,Source,Type,Publication Date,Link,License,Description
Guide to PHP and MySQL,Jim Gerland,N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/guide-to-php-and-mysql/,Attribution-NonCommercial-ShareAlike,N/A
"Guide to HTML, CSS and JavaScript",Jim Gerland,N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/guide-to-html-css-and-javascript/,Attribution-NonCommercial-ShareAlike,N/A
"Fundamentals, Function, and Form: Theory and Analysis of Tonal Western Art Music",Andre Mount,N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/fundamentals-function-and-form/,Attribution-NonCommercial,N/A
The ELC: An Early Childhood Learning Community at Work,"Heather Bridge, Lorraine Melita, Patricia Roiger",N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/the-elc-an-early-childhood-learning-community-at-work/,Attribution-NonCommercial,N/A
Basic Tools for Quality Improvement in Health Care Informatics,Jerome Niyiora,N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/basic-tools-for-quality-improvement-in-health-care-informatics/,Attribution-NonCommercial-ShareAlike,N/A
Applications of Control Charts for Quality Improvement in Health Care,Jerome Niyiora,N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/applications-of-control-charts-for-quality-improvement-in-health-care/,Attribution-NonCommercial-ShareAlike,N/A
Public Health in  Pharmacy Practice:  A Casebook,"Jordan R Covvey, PharmD, PhD, BCPS, Vibhuti Arya, PharmD, Natalie A. DiPietro Mager, PharmD, MPH, Neyda V. Gilman, MLS, MaRanda Herring, PharmD, BCACP, Stephanie Lukas, PharmD, MPH, Leslie Ochs, PharmD, PhD, MSPH, Lindsay Waddington, PharmD, MPH, BCCCP",N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/public-health-in-pharmacy-practice/,Attribution,N/A
Dangerous Science: Science Policy and Risk Analysis for Scientists and Engineers,Daniel Rozell,N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/dangerous-science/,Attribution,N/A
Physics Problems for Nerds: Analyzing “nerd” culture through physics 101,Lars Schweidenback,N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/physics-problems-for-nerds/,Attribution-NonCommercial,N/A
Transitions to Professional Nursing Practice,Jamie Murphy,N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/transitions-to-professional-nursing-practice/,Attribution,N/A
An Introduction to Labor and Employment Law,Michael Evan Gold,N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/an-introduction-to-labor-and-employment-law/,Attribution-NonCommercial,N/A
"Drink, Swear, Steal, and Lie: Leadership in Four Easy Steps",Mark Whitman,N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/drink-swear-steal-and-lie-leadership-in-four-easy-steps/,Attribution,N/A
Microbiology: A Laboratory Experience,Holly Ahern,N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/microbiology-a-laboratory-experience/,Attribution-NonCommercial-ShareAlike,N/A
Ethics in Life and Vocation,Mark Whitman,N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/ethics-in-life-and-vocation/,Attribution,N/A
Technical Report Writing Guidelines,"Leah M. Akins, Ph.D.",N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/technical-report-writing-guidelines/,Attribution-NonCommercial-ShareAlike,N/A
Foundations for Assisting in Home Care,"Kimberly B. McLain, Andrea C. Wade, Erin O'Hara-Leslie",N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/foundations-for-assisting-in-home-care/,Attribution,N/A
Naming the Unnameable: An Approach to Poetry for New Generations,Michelle Bonczek Evory,N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/naming-the-unnameable/,Attribution-NonCommercial-ShareAlike,N/A
The History of Our Tribe: Hominini,Barbara Welker,N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/the-history-of-our-tribe-hominini/,Attribution-NonCommercial-ShareAlike,N/A
Exploring Movie Construction & Production: What’s so exciting about movies?,John Reich,N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/exploring-movie-construction-production/,Attribution-NonCommercial-ShareAlike,N/A
A Concise Introduction to Logic,Craig DeLancey,N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/concise-introduction-to-logic/,Attribution-NonCommercial-ShareAlike,N/A
Music and the Child,Natalie Sarrazin,N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/music-and-the-child/,Attribution-NonCommercial-ShareAlike,N/A
Teaching Autoethnography: Personal Writing in the Classroom,Melissa Tombro,N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/teaching-autoethnography/,Attribution-NonCommercial-ShareAlike,N/A
"Good Corporation, Bad Corporation: Corporate Social Responsibility in the Global Economy","Elizabeth Pulos, Guillermo C. Jimenez",N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/good-corporation-bad-corporation/,Attribution-NonCommercial-ShareAlike,N/A
Steps to Success: Crossing the Bridge Between Literacy Research and Practice,"Bryan Ripley Crandall, Elizabeth Lewis, Elizabeth Y. Stevens, Joanna M. Robertson, Joanne E. O'Toole, Kathleen A. Cullen, Kristen A. Munger, Maria S. Murray, Michelle A. Duffy, Tess M. Dussling, Vicki McQuitty",N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/steps-to-success/,Attribution-NonCommercial-ShareAlike,N/A
Writing in College: From Competence to Excellence,Amy Guptill,N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/writing-in-college-from-competence-to-excellence/,Attribution-NonCommercial-ShareAlike,N/A
Nursing Care at the End of Life: What Every Clinician Should Know,Susan E. Lowey,N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/nursing-care-at-the-end-of-life/,Attribution-NonCommercial-ShareAlike,N/A
A Spiral Workbook for Discrete Mathematics,Harris Kwong,N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/a-spiral-workbook-for-discrete-mathematics/,Attribution-NonCommercial-ShareAlike,N/A
Foundations of Academic Success: Words of Wisdom,Thomas C. Priester,N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/foundations-of-academic-success/,Attribution,N/A
Introduction to the Modeling and Analysis of Complex Systems,Hiroki Sayama,N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/introduction-to-the-modeling-and-analysis-of-complex-systems/,Attribution-NonCommercial-ShareAlike,N/A
A Friendly Introduction to Mathematical Logic,"Christopher Leary, Lars Kristiansen",N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/a-friendly-introduction-to-mathematical-logic/,Attribution-NonCommercial-ShareAlike,N/A
Guidelines for Improving the Effectiveness of Boards of Directors of Nonprofit Organizations,"Vic Murray, Yvonne Harrison",N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/guidelines-for-improving-the-effectiveness-of-boards-of-directors-of-nonprofit-organizations/,Attribution,N/A
The Missing Link: An Introduction to Web Development and Programming,Michael Mendez,N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/the-missing-link-an-introduction-to-web-development-and-programming/,Attribution-NonCommercial-ShareAlike,N/A
"Literature, the Humanities, and Humanity",Theodore L. Steinberg,N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/literature-humanities-humanity/,Attribution,N/A
Instruction in Functional Assessment,"Marcie Desrochers, Moira Fallon",N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/instruction-in-functional-assessment/,Attribution-NonCommercial-ShareAlike,N/A
"The Information Literacy User’s Guide: An Open, Online Textbook","Allison Hosier, Daryl Bullis, Deborah Bernnard, Greg Bobish, Irina Holden, Jenna Pitera (Hecker), Tor Loney, Trudi Jacobson",N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/the-information-literacy-users-guide-an-open-online-textbook/,Attribution-NonCommercial-ShareAlike,N/A
How We Got from There to Here: A Story of Real Analysis,"Eugene Boman, Robert Rogers",N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/how-we-got-from-there-to-here-a-story-of-real-analysis/,Attribution-NonCommercial-ShareAlike,N/A
Natural Resources Biometrics,Diane Kiernan,N/A,Milne Open Textbooks,Textbook,N/A,https://milneopentextbooks.org/natural-resources-biometrics/,Attribution-NonCommercial-ShareAlike,N/A
Technical Writing Essentials,"Suzan Last, University of Victoria",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=836b5a53-291d-4236-9821-15aca6bae4f5&contributor=&keyword=&subject=,Attribution,"This open textbook is designed to introduce readers to the basics of professional communications in technical fields: audience and task analysis in workplace contexts, clear and concise communications style, effective document design, teamwork and collaboration, and fundamental research skills. This book will be removed from the B.C. Open Collection on June 1, 2023, as it has been replaced by a new edition."
Graphic Design and Print Production Fundamentals,"Graphic Communications Open Textbook Collective, British Columbia Institute of Technology",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=45f9a8a1-5901-4b32-87ae-b4f5c2aa99ef&contributor=&keyword=&subject=,Attribution,"This textbook -- written by a group of select experts with a focus on different aspects of the design process, from creation to production -- addresses the many steps of creating and then producing physical, printed, or other imaged products that people interact with on a daily basis. It covers the concept that, while most modern graphic design is created on computers using design software,  the ideas and concepts don’t stay on the computer. The ideas need to be completed in the computer software, then progress to an imaging (traditionally referred to as printing) process. Keywords are highlighted throughout and summarized in a Glossary at the end of the book, and each chapter includes exercises and suggested readings."
Intermediate Algebra and Trigonometry,"Anna Kuczynska, University of Fraser Valley",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=76dc2b51-6695-4914-8d39-6118efd321b7&contributor=&keyword=&subject=,Attribution-NonCommercial,"This textbook is intended for adult learners who wish to review and improve their algebra skills. The content covers all the ABE outcomes for the Algebraic Math - Advanced Level. The concepts are explained concisely, but with enough depth to provide students with the background necessary for success in college or university level mathematics. The ample number of examples and exercises makes this text a great resource for students as well as for instructors."
Math for Trades: Volume 1,"Chad Flinn, Mark Overgaard; BCIT",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=77ab0254-504a-4e41-a7c2-883fad7ebdb5&contributor=&keyword=&subject=,Attribution,"The Math for Trades: Volume 1 textbook represents the building blocks for math training. The book includes whole numbers, fractions, decimals, and percents. The material is presented from a trades perspective with easy-to-understand examples and video explanations accompanying questions. The goal of this volume is to get students prepared for the more advanced topics that they will encounter during their trades math education."
Beginning Excel 2019,"Noreen Brown, Barbara Lave, Hallie Puncochar, Julie Romey, Mary Schatz, Art Schneider, Diane Shingledecker",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=3a27ee95-d33a-45e4-8218-8687ceade954&contributor=&keyword=&subject=,Attribution,"This Beginning Excel textbook is intended for use in a one-term introductory spreadsheet course for all majors. The basics of Excel, as they apply to the professional workplace, are introduced, including spreadsheet design, data entry, formulas, functions, charts, tables, and multi-sheet use. This textbook includes instructions for Excel for Mac also."
Psychology of Language,"Dinesh Ramoo, Thompson River University",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=7a70435d-ff9f-4d0b-8bf4-18062806d395&contributor=&keyword=&subject=,Attribution-NonCommercial-ShareAlike,"In this textbook, students are introduced to the fundamental principles of linguistics and psycholinguistics. Students will explore theories and models of language development, comprehension and production as well as bilingualism and reading. All of these topics are approached from a Canadian perspective and include ideas from indigenous cultures and languages of Canada."
Psychology - 1st Canadian Edition,"Sally Walters, Thompson Rivers University",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=99588bc8-ca5a-42c3-87ec-9916a2448fbe&contributor=&keyword=&subject=,Attribution-NonCommercial-ShareAlike,"This book is designed to introduce students to psychology. It is an approachable, comprehensive overview of the main perspectives and sub-fields, with a focus on the science of psychology. There is an explicitly Canadian perspective, and the book incorporates open access material from other experts. Readers are also shown how to approach learning about psychology while being given the content. This book is an adaptation of Introduction to Psychology - 1st Canadian Edition (Stangor and Walinga) and includes other material from OpenStax and NOBA, as well as some original content."
Line A - Safe Work Practices Competency A-3: Handle Hazardous Materials Safely,Camosun College,N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=3c98762d-0a2c-4416-a3ba-62722fdf403a&contributor=&keyword=&subject=,Attribution,"Workers exposed to hazardous materials may be at risk for many serious health problems, such as kidney or lung damage, sterility, cancer, allergic reactions, or burns. Some hazardous materials can also cause fires or explosions. Legislation and regulations are in place to reduce injuries or diseases caused by exposure to hazardous materials used in the workplace. Every person working with or near controlled products has the right to know the hazards and how to safely use the products.

The following list of lines and competencies was generated with the goal of creating an entry-level trades training resource, while still offering the flexibility for lines to be used as stand-alone books. Line A Books include: A-1 Control Workplace Hazards, A-2 Describe WorkSafeBC Regulations, A-3 Handle Hazardous Materials Safely, A-4 Describe Personal Safety Practices, A-5 Describe Fire Safety.

Special thanks to CAPER-BC (https://caperbc.ca/) for creating the audio recording for each Competency."
Customer Centric Strategy,"Kerri Shields, Centennial College",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=ea41288d-8cff-47a1-9050-725da1017d65&contributor=&keyword=&subject=,Attribution-NonCommercial-ShareAlike,"Customer centricity is about organizational transformation making the customer the focus for business decisions, processes, product development, services, and procedures. Some companies purport to be customer centric but they fall short in connecting this concept throughout all functional areas of the business.  While it is important to offer superb customer service, being customer centric is far more than that.  It's about mapping the customer journey to discover customer needs and wants, what's working and what is not, then taking action to improve the customer experience. Customer loyalty is built through providing exceptional customer experiences.  This in turn increases revenues through positive company image, referrals, and increased customer lifetime value. Most organizations today realize that they must focus on the customer to remain competitive."
University Physics - Volume 1 (OpenStax),"Samuel J. Ling, Truman State University, Jeff Sanny, Loyola Marymount University, William Moebs (retired), Loyola Marymount University",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=9937895a-72b5-4caf-a536-2dc9893c96ff&contributor=&keyword=&subject=,Attribution,"University Physics is a three-volume collection that meets the scope and sequence requirements for two- and three-semester calculus-based physics courses. Volume 1 covers mechanics, sound, oscillations, and waves. Volume 2 covers thermodynamics, electricity and magnetism, and Volume 3 covers optics and modern physics. This textbook emphasizes connections between between theory and application, making physics concepts interesting and accessible to students while maintaining the mathematical rigor inherent in the subject. Frequent, strong examples focus on how to approach a problem, how to work with the equations, and how to check and generalize the result."
Conservation Biology in Sub-Saharan Africa,"John W. Wilson, Richard B. Primack, Boston University",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=7bddb825-39f9-4c11-b8a2-13a663e22378&contributor=&keyword=&subject=,Attribution,"Easy to read, this lucid and accessible textbook includes fifteen chapters that cover a full range of conservation topics, including threats to biodiversity, environmental laws, and protected areas management, as well as related topics such as sustainability, poverty, and human-wildlife conflict. This rich resource also includes a background discussion of what conservation biology is, a wide range of theoretical approaches to the subject, and concrete examples of conservation practice in specific African contexts. Strategies are outlined to protect biodiversity whilst promoting economic development in the region."
Adult Literacy Fundamental Mathematics: Book 1 - 2nd Edition,"Wendy Tagami, Liz Girard",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=ba6b1833-9b65-4c75-8f10-a395c21d1c8f&contributor=&keyword=&subject=,Attribution,"This is book one in a six-book series on fundamental mathematics for adult learners. These books include glossaries, self tests, practice requests, grades records, and unit tests. Ancillary Resources include the Instructor's Manual. Topics in this book include: number and number operations, patterns, functions and relations, real life applications, geometry, and time. These books align with the learning outcomes for Adult Fundamental Math as outlined in the BC ABE Articulation Handbook."
Introduction to Drafting and AutoCAD 2D,"William Baumback, Bruce McGarvie, Vancouver Community College",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=6922e0f1-d172-4d3c-b915-b32e7a91908d&contributor=&keyword=&subject=,Attribution,"Introduction to Drafting and AutoCAD 2D was written as a tool to guide and teach you to master AutoCAD. No two students learn at the same pace, therefore the eook was written with competency-based modules. The competency-based modules are bite-size pieces that allow you to work at your own pace. They can be used to learn by distance education, correspondence, online, instructor-lead classes, or by individuals teaching themselves to use AutoCAD in their own home or office."
Physical Geology - 2nd Edition,"Steven Earle, Thompson Rivers University",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=5ec5dd3f-2da1-4603-807d-035d6a5cf9f0&contributor=&keyword=&subject=,Attribution,"Physical Geology is a comprehensive introductory text on the physical aspects of geology, including rocks and minerals, plate tectonics, earthquakes, volcanoes, glaciation, groundwater, streams, coasts, mass wasting, climate change, planetary geology and much more. It has a strong emphasis on examples from western Canada, especially British Columbia, and also includes a chapter devoted to the geological history of western Canada. The book is a collaboration of faculty from Earth Science departments at Universities and Colleges across British Columbia and elsewhere."
Adult Literacy Fundamental Mathematic: Book 6 – 2nd Edition,"Liz Girard, Wendy Tagami",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=03c62643-ab2a-43d5-88c9-44e27dd52cdc&contributor=&keyword=&subject=,Attribution,"This is book six in a six-book series on fundamental mathematics for adult learners. These books include glossaries, self tests, practice requests, grades records, and unit tests. Ancillary Resources include the Instructor's Manual. Topics in this book include: ratio, rate, and proportion; percent; and statistics. These books align with the learning outcomes for Adult Fundamental Math as outlined in the BC ABE Articulation Handbook."
Adult Literacy Fundamental Mathematics: Book 5,"Liz Girard,  Wendy Tagami , Liz Girard, Wendy Tagami",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=4e8eeb05-62dd-4aa0-a749-eaf5595d7bbf&contributor=&keyword=&subject=,Attribution,"This is book five in a six-book series on fundamental mathematics for adult learners. These books include glossaries, self tests, practice requests, grades records, and unit tests. Ancillary Resources include the Instructor's Manual."
Adult Literacy Fundamental Mathematics: Book 4,"Liz Girard,  Wendy Tagami",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=f2ccf504-86e6-4ebc-9d39-63eaf9695d72&contributor=&keyword=&subject=,Attribution,"This is book four in a six-book series on fundamental mathematics for adult learners. These books include glossaries, self tests, practice requests, grades records, and unit tests. Ancillary Resources include the Instructor's Manual."
Adult Literacy Fundamental Mathematics: Book 3,"Liz Girard, Wendy Tagami",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=0dea611f-6f9c-4d7e-a700-e5c7adcc86e5&contributor=&keyword=&subject=,Attribution,"This is book three in a six-book series on fundamental mathematics for adult learners. These books include glossaries, self tests, practice requests, grades records, and unit tests. Ancillary Resources include the Instructor's Manual."
Adult Literacy Fundamental Mathematics: Book 2,"Wendy Tagami, Liz Girard",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=65ad18bb-686d-4cb5-b85a-361a326b69bb&contributor=&keyword=&subject=,Attribution,"This is book two in a six-book series on fundamental mathematics for adult learners. These books include glossaries, self tests, practice requests, grades records, and unit tests. Ancillary Resources include the Instructor's Manual."
Introduction to Sociology - 3e (OpenStax),"Tonja R. Conerly, San Jacinto College, Kathleen Holmes, Northern Essex Community College, Asha Lal Tamang, Minneapolis Community and Technical College & North Hennepin Community College, et al.",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=74302a91-12c3-4876-bdce-12aa2a21b338&contributor=&keyword=&subject=,Attribution,"Introduction to Sociology - 3e aligns to the topics and objectives of many introductory sociology courses. It is arranged in a manner that provides foundational sociological theories and contexts, then progresses through various aspects of human and societal interactions. The new edition is focused on driving meaningful and memorable learning experiences related to critical thinking about society and culture. The text includes comprehensive coverage of core concepts, discussions and data relevant to a diverse audience, and features that draw learners into the discipline in powerful and personal ways. Overall, Introduction to Sociology 3e aims to center the course and discipline as crucial elements for understanding relationships, society, and civic engagement; the authors seek to lay the foundation for students to apply what they learn throughout their lives and careers.

The authors, reviewers, and the entire team worked to build understanding of the causes and impacts of discrimination and prejudice. Introduction to Sociology 3e contains dozens of examples of discrimination and its outcomes regarding social science, society, institutions, and individuals. The text seeks to strike a balance between confronting the damaging aspects of our culture and history and celebrating those who have driven change and overcome challenges. The core discussion of these topics are present in Chapter 11 on Race and Ethnicity, and Chapter 12 on Gender, Sex, and Sexuality, but their causes and effects are extensively discussed in the context of other topics, including education, law enforcement, government, healthcare, the economy, and so on. Together and when connected by an instructor, these elements have potential for deep and lasting effects."
"World History: Cultures, States, and Societies to 1500","Eugene Berger, George L. Israel, Charlotte Miller, Brian Parkinson, Andrew Reeves, Nadejda Williams, University System of Georgia",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=e1c00bd0-99f2-4842-aa80-2abccd5cee29&contributor=&keyword=&subject=,Attribution-ShareAlike,"World History: Cultures, States, and Societies to 1500 offers a comprehensive introduction to the history of humankind from prehistory to 1500. Authored by six USG faculty members with advance degrees in History, this textbook offers up-to-date original scholarship. It covers such cultures, states, and societies as Ancient Mesopotamia, Ancient Israel, Dynastic Egypt, India’s Classical Age, the Dynasties of China, Archaic Greece, the Roman Empire, Islam, Medieval Africa, the Americas, and the Khanates of Central Asia. It includes 350 high-quality images and maps, chronologies, and learning questions to help guide student learning. Its digital nature allows students to follow links to applicable sources and videos, expanding their educational experience beyond the textbook."
Organic Chemistry with a Biological Emphasis - Volumes I & II,"Timothy Soderberg, University of Minnesota, Morris",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=f01f98b4-925d-4e94-bc82-c1d707e6280e&contributor=&keyword=&subject=,Attribution-NonCommercial-ShareAlike,"This textbook is designed for a two-semester, sophomore-level course in organic chemistry in which biological chemistry takes center stage. For the most part, the text covers the core concepts of organic structure, structure determination, and reactivity in the standard order. What is different is the context: biological chemistry is fully integrated into the explanation of central principles, and as much as possible the in-chapter and end-of-chapter problems are taken from the biochemical literature. Many laboratory synthesis reactions are also covered, generally in parallel with their biochemical counterparts - but it is intentionally the biological chemistry that comes first."
Perspectives: An Open Invitation to Cultural Anthropology - 2nd Edition,"Nina Brown, Thomas McIlwraith, Laura Tubelle de González",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=eb0e7fd4-f97d-4ed8-811f-be1e7ace6581&contributor=&keyword=&subject=,Attribution-NonCommercial,"This textbook is a collection of chapters on the essential topics in cultural anthropology. Different from other introductory textbooks, this book is an edited volume with each chapter written by a different author. Each author has written from their experiences working as an anthropologist and that personal touch makes for an accessible introduction to cultural anthropology. The authors' approach to cultural anthropology is holistic. They see the interconnectedness of cultural practices and, in all of the chapters, they emphasize the comparison of cultures and the ways of life of different peoples."
Media Studies 101,"Dr Erika Pearson, Dr Sy Taffel, Dr Brett Nicholls, Martina Wengenmeir, Khin-Wee Chen, Hazel Phillips, Collette Snowden, Bernard Madill, Jane Ross, Sarah Gallagher, Thelma Fisher,  Shah Nister J. Kabir, Maud Ceuterick, Hannah Mettner, Massimiliana Urbano",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=e700f1ca-aadb-481c-a30f-180cbf2eb80c&contributor=&keyword=&subject=,Attribution,"Media Studies 101 is the open educational resource for media studies studies in New Zealand, Australia, and Pacifica. We have constructed this text so it can be read in a number of ways. You may wish to follow the structured order of 'chapters' like you would in a traditional printed textbook. Each section builds on and refers back to previous sections to build up your knowledge and skills. Alternatively, you may want to go straight to the section you are interested in -- links will help guide you back to definitions and key ideas if you need to refresh your knowledge or understand a new concept."
Business/Technical Mathematics,"Izabela Mazur, Thompson River University, Kim Moshenko, Thompson River University",N/A,BC Campus,Textbook,N/A,https://open.bccampus.ca/browse-our-collection/find-open-textbooks/?uuid=c652075a-31d5-417b-93d1-6277dbd50587&contributor=&keyword=&subject=,Attribution,"The content of this textbook is aligned with the British Columbia Adult Basic Education learning outcomes for the Advanced Level Business/Technical Mathematics. The textbook covers nine groups of learning outcomes organized in chapters. The first three chapters cover the core learning outcomes: 1. Operations with Real Numbers, 2. First Degree Equations and Inequalities, 3. Equations and their Graphs. The remaining chapters cover the following six topics: 4. Systems of Equations, 5. Trigonometry, 6. Health Option, 7. Finance, 8. Data Analysis 1, 9. Data Analysis 2."
